Transaction ID,Customer ID,Customer Name,Age,Gender,City,Product Name,Category,Quantity,Unit Price,Discount (%),Total Amount,Purchase Date,Payment Method,Customer Rating,Order Status,Delivery Days,Membership Type
TXN00038,CUST0028,Sara Ahmed,39,Male,Gujranwala,Planner 2026,Books & Stationery,3,14880.91,5.0,42410.59,2025-02-11,Credit Card,4.5,Delivered,4.0,Basic
TXN00171,CUST0032,Asad Khan,26,Male,Rawalpindi,Bluetooth Speaker,Electronics,2,17884.37,10.0,32191.87,2025-08-09,Credit Card,1.2,Cancelled,6.0,Basic
TXN00257,CUST0071,Nadia Khan,41,Male,Karachi,Honey Jar,Groceries,7,17142.83,30.0,83999.87,2025-07-01,Debit Card,3.1,Delivered,5.0,Basic
TXN00061,CUST0052,Warda Khan,26,Male,Islamabad,Wireless Earbuds,Electronics,6,13149.68,5.0,74953.18,2025-12-08,Credit Card,4.6,Delivered,2.0,Silver
TXN00154,CUST0076,Iqra Hussain,52,Female,Karachi,Hair Serum,Beauty,7,8812.63,10.0,55519.57,2025-08-12,Credit Card,1.7,Delivered,4.0,Silver
TXN00182,CUST0031,Fatima Farooq,22,Male,Peshawar,Green Tea Pack,Groceries,1,5792.49,5.0,5502.87,2025-10-31,Mobile Wallet,1.9,Delivered,9.0,Silver
TXN00031,CUST0017,Farhan Javed,44,Female,Multan,Cutlery Set,Home & Kitchen,6,22612.2,15.0,115322.22,2025-04-14,Mobile Wallet,4.1,Delivered,11.0,Basic
TXN00100,CUST0030,Ayesha Hussain,41,Male,Quetta,Smartphone Case,Electronics,2,13485.85,0.0,26971.7,2025-07-05,Credit Card,1.0,Delivered,1.0,Silver
TXN00142,CUST0049,Ayesha Ahmed,21,Male,Sialkot,Dumbbell Set,Sports & Fitness,4,1790.17,20.0,5728.54,2025-09-19,Credit Card,4.1,Delivered,8.0,Basic
TXN00127,CUST0089,Hamza Farooq,18,Male,Multan,Denim Jeans,Clothing,3,2691.21,25.0,6055.22,2025-03-14,Mobile Wallet,4.2,Delivered,5.0,Silver
TXN00071,CUST0001,Sara Hussain,48,Female,Rawalpindi,Smartwatch,Electronics,6,15533.88,10.0,83882.95,2025-07-09,Credit Card,2.0,Cancelled,2.0,Silver
TXN00255,CUST0002,Zainab Ahmed,42,Female,Gujranwala,Honey Jar,Groceries,1,15001.18,30.0,10500.83,2025-12-20,Cash,1.8,Delivered,3.0,Gold
TXN00214,CUST0081,Amina Baig,58,Male,,Basmati Rice 5kg,Groceries,7,12709.6,,62277.04,2025-12-21,,7.5,Delivered,,Silver
TXN00263,CUST0064,Mehak Raza,42,Male,Islamabad,Lipstick Set,Beauty,1,7046.97,10.0,6342.27,2025-12-22,Cash,3.7,Delivered,10.0,Gold
TXN00075,CUST0051,Zeeshan Hussain,33,Male,Gujranwala,Women's Kurta,Clothing,2,23518.47,20.0,37629.55,2025-01-02,Debit Card,3.1,Delivered,9.0,Basic
TXN00089,CUST0080,Kashif Sheikh,26,Male,Peshawar,Dry Fruits Mix,Groceries,7,10172.0,15.0,60523.4,2025-07-18,Mobile Wallet,2.6,Delivered,1.0,Platinum
